time_iso8601,stars_cumulative
2023-08-30 00:00:00+00:00,2
2023-08-31 00:00:00+00:00,3
2023-09-01 00:00:00+00:00,4
2023-09-10 00:00:00+00:00,6
2023-09-11 00:00:00+00:00,7
2023-09-12 00:00:00+00:00,8
2023-09-16 00:00:00+00:00,9
2023-09-19 00:00:00+00:00,11
2023-09-20 00:00:00+00:00,12
2023-09-22 00:00:00+00:00,13
2023-09-25 00:00:00+00:00,15
2023-09-27 00:00:00+00:00,16
2023-09-30 00:00:00+00:00,17
2023-10-02 00:00:00+00:00,19
2023-10-04 00:00:00+00:00,20
2023-10-07 00:00:00+00:00,21
2023-10-11 00:00:00+00:00,22
2023-10-13 00:00:00+00:00,23
2023-10-22 00:00:00+00:00,24
2023-10-23 00:00:00+00:00,25
2023-10-30 00:00:00+00:00,26
2023-10-31 00:00:00+00:00,27
2023-11-01 00:00:00+00:00,28
2023-11-05 00:00:00+00:00,29
2023-11-06 00:00:00+00:00,30
2023-11-07 00:00:00+00:00,31
2023-11-09 00:00:00+00:00,32
2023-11-12 00:00:00+00:00,33
2023-11-13 00:00:00+00:00,35
2023-11-17 00:00:00+00:00,36
2023-11-20 00:00:00+00:00,38
2023-11-22 00:00:00+00:00,39
2023-12-03 00:00:00+00:00,42
2023-12-11 00:00:00+00:00,43
2023-12-12 00:00:00+00:00,44
2023-12-16 00:00:00+00:00,45
2023-12-20 00:00:00+00:00,46
2023-12-25 00:00:00+00:00,47
2023-12-29 00:00:00+00:00,48
2024-01-04 00:00:00+00:00,49
2024-01-07 00:00:00+00:00,50
2024-01-08 00:00:00+00:00,51
2024-01-12 00:00:00+00:00,53
2024-01-20 00:00:00+00:00,55
2024-01-24 00:00:00+00:00,56
2024-01-28 00:00:00+00:00,57
2024-01-30 00:00:00+00:00,59
2024-02-03 00:00:00+00:00,60
2024-02-07 00:00:00+00:00,61
2024-02-13 00:00:00+00:00,62
2024-02-14 00:00:00+00:00,63
2024-02-17 00:00:00+00:00,64
2024-02-28 00:00:00+00:00,65
2024-03-05 00:00:00+00:00,66
2024-03-07 00:00:00+00:00,67
2024-03-08 00:00:00+00:00,68
2024-03-11 00:00:00+00:00,69
2024-03-17 00:00:00+00:00,70
2024-03-19 00:00:00+00:00,71
2024-03-25 00:00:00+00:00,75
2024-03-27 00:00:00+00:00,76
2024-03-28 00:00:00+00:00,78
2024-03-30 00:00:00+00:00,79
2024-03-31 00:00:00+00:00,80
2024-04-01 00:00:00+00:00,81
2024-04-02 00:00:00+00:00,83
2024-04-03 00:00:00+00:00,84
2024-04-04 00:00:00+00:00,85
2024-04-05 00:00:00+00:00,86
2024-04-08 00:00:00+00:00,87
2024-04-09 00:00:00+00:00,89
2024-04-14 00:00:00+00:00,91
2024-04-15 00:00:00+00:00,92
2024-04-18 00:00:00+00:00,93
2024-04-22 00:00:00+00:00,94
2024-04-23 00:00:00+00:00,96
2024-04-24 00:00:00+00:00,97
2024-04-27 00:00:00+00:00,98
2024-04-28 00:00:00+00:00,99
2024-05-04 00:00:00+00:00,100
2024-05-13 00:00:00+00:00,101
2024-05-14 00:00:00+00:00,102
2024-05-17 00:00:00+00:00,103
2024-05-21 00:00:00+00:00,104
2024-05-22 00:00:00+00:00,105
2024-05-23 00:00:00+00:00,106
2024-05-26 00:00:00+00:00,107
2024-05-28 00:00:00+00:00,109
2024-06-05 00:00:00+00:00,110
2024-06-11 00:00:00+00:00,111
2024-06-12 00:00:00+00:00,112
2024-06-13 00:00:00+00:00,113
2024-06-20 00:00:00+00:00,114
2024-06-24 00:00:00+00:00,115
2024-06-26 00:00:00+00:00,116
2024-06-27 00:00:00+00:00,117
2024-07-02 00:00:00+00:00,118
2024-07-03 00:00:00+00:00,119
2024-07-06 00:00:00+00:00,120
2024-07-09 00:00:00+00:00,121
2024-07-13 00:00:00+00:00,122
2024-07-16 00:00:00+00:00,123
2024-07-23 00:00:00+00:00,124
2024-07-26 00:00:00+00:00,125
2024-07-27 00:00:00+00:00,126
2024-07-29 00:00:00+00:00,127
2024-07-31 00:00:00+00:00,128
2024-08-07 00:00:00+00:00,129
2024-08-12 00:00:00+00:00,130
2024-08-17 00:00:00+00:00,131
2024-08-20 00:00:00+00:00,132
2024-08-21 00:00:00+00:00,133
2024-08-22 00:00:00+00:00,134
2024-08-24 00:00:00+00:00,137
2024-08-30 00:00:00+00:00,139
2024-08-31 00:00:00+00:00,140
2024-09-09 00:00:00+00:00,142
2024-09-10 00:00:00+00:00,143
2024-09-11 00:00:00+00:00,145
2024-09-17 00:00:00+00:00,146
2024-09-19 00:00:00+00:00,147
2024-09-20 00:00:00+00:00,148
2024-09-25 00:00:00+00:00,149
2024-09-26 00:00:00+00:00,150
2024-09-29 00:00:00+00:00,152
2024-09-30 00:00:00+00:00,153
2024-10-03 00:00:00+00:00,154
2024-10-04 00:00:00+00:00,155
2024-10-06 00:00:00+00:00,156
2024-10-10 00:00:00+00:00,157
2024-10-18 00:00:00+00:00,158
2024-10-21 00:00:00+00:00,160
2024-10-22 00:00:00+00:00,163
2024-10-25 00:00:00+00:00,164
2024-11-04 00:00:00+00:00,165
2024-11-05 00:00:00+00:00,167
2024-11-07 00:00:00+00:00,169
2024-11-09 00:00:00+00:00,171
2024-11-13 00:00:00+00:00,172
2024-11-20 00:00:00+00:00,173
2024-11-21 00:00:00+00:00,175
2024-11-23 00:00:00+00:00,177
2024-11-27 00:00:00+00:00,178
2024-11-28 00:00:00+00:00,179
2024-12-02 00:00:00+00:00,180
2024-12-04 00:00:00+00:00,181
2024-12-05 00:00:00+00:00,183
2024-12-10 00:00:00+00:00,185
2024-12-12 00:00:00+00:00,186
2024-12-20 00:00:00+00:00,187
2024-12-25 00:00:00+00:00,189
2024-12-26 00:00:00+00:00,190
2025-01-02 00:00:00+00:00,191
2025-01-03 00:00:00+00:00,192
2025-01-08 00:00:00+00:00,193
2025-01-10 00:00:00+00:00,194
2025-01-16 00:00:00+00:00,195
2025-01-17 00:00:00+00:00,196
2025-01-21 00:00:00+00:00,199
2025-02-02 00:00:00+00:00,200
2025-02-03 00:00:00+00:00,201
2025-02-10 00:00:00+00:00,202
2025-02-12 00:00:00+00:00,205
2025-02-16 00:00:00+00:00,206
2025-02-18 00:00:00+00:00,207
2025-02-21 00:00:00+00:00,208
2025-02-24 00:00:00+00:00,209
2025-03-08 00:00:00+00:00,210
2025-03-10 00:00:00+00:00,211
2025-03-12 00:00:00+00:00,212
2025-03-13 00:00:00+00:00,213
2025-03-16 00:00:00+00:00,214
2025-03-20 00:00:00+00:00,215
2025-03-24 00:00:00+00:00,216
2025-04-02 00:00:00+00:00,217
2025-04-03 00:00:00+00:00,219
2025-04-04 00:00:00+00:00,220
2025-04-10 00:00:00+00:00,221
2025-04-15 00:00:00+00:00,223
2025-04-16 00:00:00+00:00,224
2025-04-17 00:00:00+00:00,225
2025-04-18 00:00:00+00:00,226
2025-04-29 00:00:00+00:00,227
2025-05-01 00:00:00+00:00,228
2025-05-13 00:00:00+00:00,229
2025-05-24 00:00:00+00:00,230
2025-05-26 00:00:00+00:00,232
2025-05-27 00:00:00+00:00,233
2025-06-16 00:00:00+00:00,234
2025-06-23 00:00:00+00:00,235
2025-06-28 00:00:00+00:00,236
2025-07-08 00:00:00+00:00,237
2025-07-10 00:00:00+00:00,239
2025-07-11 00:00:00+00:00,240
2025-07-12 00:00:00+00:00,241
2025-07-15 00:00:00+00:00,242
2025-07-17 00:00:00+00:00,243
2025-07-19 00:00:00+00:00,244
2025-07-25 00:00:00+00:00,246
2025-07-27 00:00:00+00:00,247
2025-07-30 00:00:00+00:00,248
2025-08-08 00:00:00+00:00,250
2025-08-09 00:00:00+00:00,251
2025-08-25 00:00:00+00:00,252
2025-08-26 00:00:00+00:00,253
2025-08-31 00:00:00+00:00,254
2025-09-16 00:00:00+00:00,255
2025-09-24 00:00:00+00:00,256
2025-09-25 00:00:00+00:00,257
2025-09-29 00:00:00+00:00,258
2025-09-30 00:00:00+00:00,259
2025-10-09 00:00:00+00:00,261
2025-11-01 00:00:00+00:00,262
2025-11-15 00:00:00+00:00,263
2025-12-09 00:00:00+00:00,264
2025-12-10 00:00:00+00:00,265
2025-12-17 00:00:00+00:00,266
2025-12-20 00:00:00+00:00,267
2025-12-25 00:00:00+00:00,268
2025-12-28 00:00:00+00:00,269
2026-01-13 00:00:00+00:00,270
2026-02-05 00:00:00+00:00,271
2026-02-17 00:00:00+00:00,272
2026-02-24 00:00:00+00:00,273
2026-03-03 00:00:00+00:00,274
