url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,55,30
/nyadla-sys/whisper.tflite/tree/main/models,21,7
/nyadla-sys/whisper.tflite/tree/main/whisper_android,11,9
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,6,6
/nyadla-sys/whisper.tflite/blob/main/models/whisper_tflite_model_generation_and_test.py,6,3
/nyadla-sys/whisper.tflite/activity,6,1
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,5
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,5,5
/nyadla-sys/whisper.tflite/blob/main/LICENSE.txt,5,3
/nyadla-sys/whisper.tflite/blob/main/whisper_native/README.md,4,2
