referrer,views_total,views_unique
Google,213,47
github.com,103,29
statics.gov.teams.microsoft.us,15,1
Bing,10,5
DuckDuckGo,6,2
com.linkedin.android,6,1
chatgpt.com,4,1
euc-powerpoint.officeapps.live.com,4,1
search.brave.com,3,1
linkedin.com,2,2
