time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,2567,34,2,2
2026-09-08 00:00:00+00:00,2006,18,12,5
2026-09-09 00:00:00+00:00,1149,11,16,6
2026-09-10 00:00:00+00:00,701,16,18,6
2026-09-11 00:00:00+00:00,3907,18,51,4
2026-09-12 00:00:00+00:00,36,21,1,1
2026-09-13 00:00:00+00:00,14,10,0,0
2026-09-14 00:00:00+00:00,10,8,36,3
2026-09-15 00:00:00+00:00,573,16,5,4
2026-09-16 00:00:00+00:00,27,11,14,9
2026-09-17 00:00:00+00:00,358,10,13,5
2026-09-18 00:00:00+00:00,781,17,7,3
2026-09-19 00:00:00+00:00,25,12,21,9
2026-09-20 00:00:00+00:00,308,15,9,5
