url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,102,64
/nyadla-sys/whisper.tflite/tree/main/models,28,17
/nyadla-sys/whisper.tflite/tree/main/whisper_android,14,13
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,8,6
/nyadla-sys/whisper.tflite/tree/main,7,5
/nyadla-sys/whisper.tflite/tree/github-repo-stats/nyadla-sys/whisper.tflite/latest-report,6,1
/nyadla-sys/whisper.tflite/tree/main/whisper_native,5,5
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,4
/nyadla-sys/whisper.tflite/blob/github-repo-stats/nyadla-sys/whisper.tflite/latest-report/report.pdf,5,1
/nyadla-sys/whisper.tflite/issues/47,4,4
