url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,73,48
/nyadla-sys/whisper.tflite/tree/main/models,19,10
/nyadla-sys/whisper.tflite/tree/main/whisper_android,15,9
/nyadla-sys/whisper.tflite/issues,11,3
/nyadla-sys/whisper.tflite/tree/main,9,9
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,6,3
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,5
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny.tflite,5,3
/nyadla-sys/whisper.tflite/issues/47,5,2
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main/cpp,4,3
