time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,36,24,126,18
2026-03-29 00:00:00+00:00,20,10,12,9
2026-03-30 00:00:00+00:00,19,9,31,15
2026-03-31 00:00:00+00:00,20,10,98,16
2026-04-01 00:00:00+00:00,17,12,72,13
2026-04-02 00:00:00+00:00,7,7,86,21
2026-04-03 00:00:00+00:00,16,8,78,12
2026-04-04 00:00:00+00:00,16,11,46,11
2026-04-05 00:00:00+00:00,17,9,5,5
2026-04-06 00:00:00+00:00,6,6,25,7
2026-04-07 00:00:00+00:00,9,5,43,11
2026-04-08 00:00:00+00:00,11,7,13,8
2026-04-09 00:00:00+00:00,113,31,74,14
2026-04-10 00:00:00+00:00,28,17,57,15
