time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,56,18,31,10
2026-04-24 00:00:00+00:00,44,15,117,14
2026-04-25 00:00:00+00:00,53,22,5,3
2026-04-26 00:00:00+00:00,46,13,41,7
2026-04-27 00:00:00+00:00,16,9,49,14
2026-04-28 00:00:00+00:00,23,14,25,9
2026-04-29 00:00:00+00:00,80,24,57,7
2026-04-30 00:00:00+00:00,41,14,14,4
2026-05-01 00:00:00+00:00,47,16,11,5
2026-05-02 00:00:00+00:00,22,8,6,3
2026-05-03 00:00:00+00:00,17,7,3,2
2026-05-04 00:00:00+00:00,32,10,35,10
2026-05-05 00:00:00+00:00,58,17,28,5
2026-05-06 00:00:00+00:00,17,8,21,7
