url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,58,42
/nyadla-sys/whisper.tflite/tree/main/models,18,11
/nyadla-sys/whisper.tflite/tree/main/whisper_android,15,8
/nyadla-sys/whisper.tflite/tree/main,12,8
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,7,4
/nyadla-sys/whisper.tflite/issues,6,2
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,5,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,5,4
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny.tflite,5,3
