url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,90,58
/nyadla-sys/whisper.tflite/tree/main/models,23,15
/nyadla-sys/whisper.tflite/tree/main/whisper_android,16,12
/nyadla-sys/whisper.tflite/tree/main,8,6
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,6,4
/nyadla-sys/whisper.tflite/tree/github-repo-stats/nyadla-sys/whisper.tflite/latest-report,6,1
/nyadla-sys/whisper.tflite/blob/main/README.md,5,4
/nyadla-sys/whisper.tflite/blob/github-repo-stats/nyadla-sys/whisper.tflite/latest-report/report.pdf,5,1
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,4,4
/nyadla-sys/whisper.tflite/tree/main/whisper_native,4,4
