url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,78,57
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,21,1
/nyadla-sys/whisper.tflite/tree/main/models,18,12
/nyadla-sys/whisper.tflite/tree/main/whisper_android,12,12
/nyadla-sys/whisper.tflite/tree/main/whisper_native,9,7
/nyadla-sys/whisper.tflite/issues,8,4
/nyadla-sys/whisper.tflite/issues/47,7,4
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny.tflite,6,3
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny-en.tflite,6,2
/nyadla-sys/whisper.tflite/tree/main,5,3
