referrer,views_total,views_unique
Google,249,48
github.com,135,15
Bing,76,11
chatgpt.com,22,2
DuckDuckGo,20,1
statics.teams.cdn.office.net,4,2
perplexity.ai,4,1
document-service-data-prod.s3.us-west-2.amazonaws.com,1,1
