url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,54,40
/nyadla-sys/whisper.tflite/tree/main/whisper_android,22,8
/nyadla-sys/whisper.tflite/tree/main,11,7
/nyadla-sys/whisper.tflite/tree/main/models,8,6
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,4,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/pre_built_apk,4,3
/nyadla-sys/whisper.tflite/issues/47,3,3
/nyadla-sys/whisper.tflite/tree/main/whisper_android/release,3,3
/nyadla-sys/whisper.tflite/blob/main/models/dtln_quantized.tflite,3,2
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,3,2
