referrer,views_total,views_unique
Google,231,47
github.com,123,14
Bing,34,8
chatgpt.com,22,2
DuckDuckGo,20,1
statics.teams.cdn.office.net,4,2
perplexity.ai,4,1
document-service-data-prod.s3.us-west-2.amazonaws.com,1,1
