time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,4699,26,7,2
2026-06-22 00:00:00+00:00,19814,32,6,5
2026-06-23 00:00:00+00:00,18497,44,63,11
2026-06-24 00:00:00+00:00,12453,40,55,14
2026-06-25 00:00:00+00:00,14339,40,4,4
2026-06-26 00:00:00+00:00,13434,21,14,6
2026-06-27 00:00:00+00:00,3600,32,7,3
2026-06-28 00:00:00+00:00,3628,24,38,6
2026-06-29 00:00:00+00:00,7059,39,20,7
2026-06-30 00:00:00+00:00,2194,41,32,8
2026-07-01 00:00:00+00:00,9243,41,10,6
2026-07-02 00:00:00+00:00,21402,66,6,5
2026-07-03 00:00:00+00:00,17598,81,21,6
2026-07-04 00:00:00+00:00,11842,39,26,4
