time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,1523,14,23,3
2026-09-02 00:00:00+00:00,1289,13,22,4
2026-09-03 00:00:00+00:00,8743,24,9,7
2026-09-04 00:00:00+00:00,1904,20,47,6
2026-09-05 00:00:00+00:00,955,8,4,4
2026-09-06 00:00:00+00:00,149,6,4,2
2026-09-07 00:00:00+00:00,2567,34,2,2
2026-09-08 00:00:00+00:00,2006,18,12,5
2026-09-09 00:00:00+00:00,1149,11,16,6
2026-09-10 00:00:00+00:00,701,16,18,6
2026-09-11 00:00:00+00:00,3907,18,51,4
2026-09-12 00:00:00+00:00,36,21,1,1
2026-09-13 00:00:00+00:00,14,10,0,0
2026-09-14 00:00:00+00:00,10,8,36,3
