time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,2696,16,6,3
2026-08-29 00:00:00+00:00,814,12,15,12
2026-08-30 00:00:00+00:00,41,13,0,0
2026-08-31 00:00:00+00:00,21,10,9,3
2026-09-01 00:00:00+00:00,1523,14,23,3
2026-09-02 00:00:00+00:00,1289,13,22,4
2026-09-03 00:00:00+00:00,8743,24,9,7
2026-09-04 00:00:00+00:00,1904,20,47,6
2026-09-05 00:00:00+00:00,955,8,4,4
2026-09-06 00:00:00+00:00,149,6,4,2
2026-09-07 00:00:00+00:00,2567,34,2,2
2026-09-08 00:00:00+00:00,2006,18,12,5
2026-09-09 00:00:00+00:00,1149,11,16,6
2026-09-10 00:00:00+00:00,701,16,18,6
