time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,203,12,7,4
2026-08-03 00:00:00+00:00,1676,36,22,12
2026-08-04 00:00:00+00:00,452,23,14,10
2026-08-05 00:00:00+00:00,1539,36,13,7
2026-08-06 00:00:00+00:00,2602,43,37,8
2026-08-07 00:00:00+00:00,1998,34,2,2
2026-08-08 00:00:00+00:00,295,14,12,6
2026-08-09 00:00:00+00:00,1430,21,23,4
2026-08-10 00:00:00+00:00,976,38,2,2
2026-08-11 00:00:00+00:00,3289,26,14,5
2026-08-12 00:00:00+00:00,2504,25,5,2
2026-08-13 00:00:00+00:00,3807,36,8,1
2026-08-14 00:00:00+00:00,1511,354,8,3
2026-08-15 00:00:00+00:00,23,11,35,6
