time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,768,25,32,6
2026-07-27 00:00:00+00:00,1861,52,9,4
2026-07-28 00:00:00+00:00,872,47,6,4
2026-07-29 00:00:00+00:00,629,33,6,4
2026-07-30 00:00:00+00:00,1232,37,3,3
2026-07-31 00:00:00+00:00,765,28,13,7
2026-08-01 00:00:00+00:00,199,14,15,3
2026-08-02 00:00:00+00:00,203,12,7,4
2026-08-03 00:00:00+00:00,1676,36,22,12
2026-08-04 00:00:00+00:00,452,23,14,10
2026-08-05 00:00:00+00:00,1539,36,13,7
2026-08-06 00:00:00+00:00,2602,43,37,8
2026-08-07 00:00:00+00:00,1998,34,2,2
2026-08-08 00:00:00+00:00,295,14,12,6
