time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,1430,21,23,4
2026-08-10 00:00:00+00:00,976,38,2,2
2026-08-11 00:00:00+00:00,3289,26,14,5
2026-08-12 00:00:00+00:00,2504,25,5,2
2026-08-13 00:00:00+00:00,3807,36,8,1
2026-08-14 00:00:00+00:00,1511,354,8,3
2026-08-15 00:00:00+00:00,23,11,35,6
2026-08-16 00:00:00+00:00,2624,14,6,2
2026-08-17 00:00:00+00:00,2121,44,9,3
2026-08-18 00:00:00+00:00,2159,26,12,3
2026-08-19 00:00:00+00:00,2494,22,2,2
2026-08-20 00:00:00+00:00,3163,17,40,5
2026-08-21 00:00:00+00:00,1049,14,44,4
2026-08-22 00:00:00+00:00,2867,44,1,1
