referrer,views_total,views_unique
Google,203,40
github.com,191,25
Bing,32,7
chatgpt.com,28,3
DuckDuckGo,20,1
document-service-data-prod.s3.us-west-2.amazonaws.com,1,1
doubao.com,1,1
