url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,60,43
/nyadla-sys/whisper.tflite/tree/main/models,21,12
/nyadla-sys/whisper.tflite/tree/main/whisper_android,18,10
/nyadla-sys/whisper.tflite/tree/main,9,6
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,4,3
/nyadla-sys/whisper.tflite/issues,4,1
/nyadla-sys/whisper.tflite/tree/main/release,3,3
/nyadla-sys/whisper.tflite/blob/main/models/README.md,3,2
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,2,2
