time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,16,9,49,14
2026-04-28 00:00:00+00:00,23,14,25,9
2026-04-29 00:00:00+00:00,80,24,57,7
2026-04-30 00:00:00+00:00,41,14,14,4
2026-05-01 00:00:00+00:00,47,16,11,5
2026-05-02 00:00:00+00:00,22,8,6,3
2026-05-03 00:00:00+00:00,17,7,3,2
2026-05-04 00:00:00+00:00,32,10,35,10
2026-05-05 00:00:00+00:00,58,17,28,5
2026-05-06 00:00:00+00:00,17,8,21,7
2026-05-07 00:00:00+00:00,32,11,47,14
2026-05-08 00:00:00+00:00,10,5,45,8
2026-05-09 00:00:00+00:00,14,7,16,6
2026-05-10 00:00:00+00:00,25,9,4,4
