url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,77,50
/nyadla-sys/whisper.tflite/tree/main/models,23,12
/nyadla-sys/whisper.tflite/tree/main/whisper_android,14,9
/nyadla-sys/whisper.tflite/issues,11,3
/nyadla-sys/whisper.tflite/tree/main,9,8
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,6,3
/nyadla-sys/whisper.tflite/issues/47,6,2
/nyadla-sys/whisper.tflite/blob/main/whisper_native/README.md,5,1
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,4,4
/nyadla-sys/whisper.tflite/blob/main/README.md,3,3
