time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,9989,37,33,8
2026-06-10 00:00:00+00:00,19798,49,0,0
2026-06-11 00:00:00+00:00,17264,70,11,6
2026-06-12 00:00:00+00:00,28316,61,16,5
2026-06-13 00:00:00+00:00,9627,21,9,3
2026-06-14 00:00:00+00:00,4839,26,29,3
2026-06-15 00:00:00+00:00,10923,27,8,6
2026-06-16 00:00:00+00:00,17460,36,1,1
2026-06-17 00:00:00+00:00,17185,29,24,7
2026-06-18 00:00:00+00:00,12102,33,25,10
2026-06-19 00:00:00+00:00,13158,38,3,3
2026-06-20 00:00:00+00:00,560,42,9,7
2026-06-21 00:00:00+00:00,4699,26,7,2
2026-06-22 00:00:00+00:00,19814,32,6,5
