url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,62,48
/nyadla-sys/whisper.tflite/tree/main/whisper_android,25,12
/nyadla-sys/whisper.tflite/tree/main/models,9,7
/nyadla-sys/whisper.tflite/tree/main,6,5
/nyadla-sys/whisper.tflite/blob/main/README.md,4,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,4,4
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,3,3
/nyadla-sys/whisper.tflite/issues/47,3,3
/nyadla-sys/whisper.tflite/pulls,3,3
/nyadla-sys/whisper.tflite/tree/main/whisper_android/release,3,3
