referrer,views_total,views_unique
Google,245,45
github.com,117,14
Bing,81,11
chatgpt.com,22,2
DuckDuckGo,20,1
statics.teams.cdn.office.net,5,3
perplexity.ai,4,1
document-service-data-prod.s3.us-west-2.amazonaws.com,1,1
