time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,5349,115,20,7
2026-07-14 00:00:00+00:00,6578,113,27,8
2026-07-15 00:00:00+00:00,4705,96,2,2
2026-07-16 00:00:00+00:00,4915,91,6,4
2026-07-17 00:00:00+00:00,7167,117,33,10
2026-07-18 00:00:00+00:00,5142,62,8,6
2026-07-19 00:00:00+00:00,2779,45,15,7
2026-07-20 00:00:00+00:00,13491,122,25,7
2026-07-21 00:00:00+00:00,8959,114,23,10
2026-07-22 00:00:00+00:00,9594,127,25,4
2026-07-23 00:00:00+00:00,7616,111,14,5
2026-07-24 00:00:00+00:00,2459,46,9,5
2026-07-25 00:00:00+00:00,1274,26,3,3
2026-07-26 00:00:00+00:00,768,25,32,6
