time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,2,1,7,3
2026-03-23 00:00:00+00:00,4,3,33,10
2026-03-24 00:00:00+00:00,56,18,222,11
2026-03-25 00:00:00+00:00,10,6,63,10
2026-03-26 00:00:00+00:00,14,8,32,7
2026-03-27 00:00:00+00:00,6,6,90,11
2026-03-28 00:00:00+00:00,36,24,126,18
2026-03-29 00:00:00+00:00,20,10,12,9
2026-03-30 00:00:00+00:00,19,9,31,15
2026-03-31 00:00:00+00:00,20,10,98,16
2026-04-01 00:00:00+00:00,17,12,72,13
2026-04-02 00:00:00+00:00,7,7,86,21
2026-04-03 00:00:00+00:00,16,8,78,12
2026-04-04 00:00:00+00:00,16,11,46,11
