time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,7439,15,11,7
2026-05-29 00:00:00+00:00,2764,17,24,12
2026-05-30 00:00:00+00:00,1564,12,8,4
2026-05-31 00:00:00+00:00,3142,19,6,3
2026-06-01 00:00:00+00:00,8100,16,17,7
2026-06-02 00:00:00+00:00,1869,22,15,7
2026-06-03 00:00:00+00:00,8571,28,16,7
2026-06-04 00:00:00+00:00,7437,31,28,11
2026-06-05 00:00:00+00:00,15749,42,44,13
2026-06-06 00:00:00+00:00,3903,22,11,8
2026-06-07 00:00:00+00:00,5617,20,4,2
2026-06-08 00:00:00+00:00,9248,28,5,4
2026-06-09 00:00:00+00:00,9989,37,33,8
2026-06-10 00:00:00+00:00,19798,49,0,0
