url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,69,54
/nyadla-sys/whisper.tflite/tree/main/models,24,13
/nyadla-sys/whisper.tflite/tree/main/whisper_android,15,12
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,9,1
/nyadla-sys/whisper.tflite/tree/main/whisper_native,8,6
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,7,5
/nyadla-sys/whisper.tflite/tree/main,6,5
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny.tflite,6,3
/nyadla-sys/whisper.tflite/issues,6,3
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny-en.tflite,6,2
