url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,72,46
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,31,3
/nyadla-sys/whisper.tflite/tree/main/models,19,10
/nyadla-sys/whisper.tflite/tree/main/whisper_android,15,12
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,6,6
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny-en.tflite,6,2
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,5,4
/nyadla-sys/whisper.tflite/blob/main/whisper_android/app/src/main/assets/whisper-tiny.tflite,5,2
/nyadla-sys/whisper.tflite/issues/47,4,3
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,4,3
